"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.germany"	"Germany"	357021
"http://rdf.freebase.com/ns/en.buryatia"	"Buryatia"	351300
"http://rdf.freebase.com/ns/en.salt_river"	"Salt River"	350000
"http://rdf.freebase.com/ns/en.murzuq"	"Murzuq District"	349790
"http://rdf.freebase.com/ns/en.great_victoria_desert"	"Great Victoria Desert"	348750
"http://rdf.freebase.com/ns/en.ilhabela"	"Ilhabela"	348300
"http://rdf.freebase.com/ns/en.timbuktu_cercle"	"Timbuktu Cercle"	347488
"http://rdf.freebase.com/ns/en.balochistan"	"Balochistan, Pakistan"	347190
"http://rdf.freebase.com/ns/en.great_barrier_reef_marine_park"	"Great Barrier Reef Marine Park"	345400
"http://rdf.freebase.com/ns/en.great_barrier_reef"	"Great Barrier Reef"	344400
"http://rdf.freebase.com/ns/en.rajasthan"	"Rajasthan"	342239
"http://rdf.freebase.com/ns/en.republic_of_the_congo"	"Congo"	342000
"http://rdf.freebase.com/ns/en.goias"	"Goiás"	340086
"http://rdf.freebase.com/ns/en.finland"	"Finland"	338424
"http://rdf.freebase.com/ns/en.tenente_portela"	"Tenente Portela"	338085
"http://rdf.freebase.com/ns/en.coast_mountains"	"Coast Mountains"	336962
"http://rdf.freebase.com/ns/en.katherine_region"	"Katherine Region"	336674
"http://rdf.freebase.com/ns/en.baie_james_quebec"	"Baie-James"	333255.55
"http://rdf.freebase.com/ns/en.maranhao"	"Maranhão"	331983.293
"http://rdf.freebase.com/ns/en.vietnam"	"Vietnam"	331690
"http://rdf.freebase.com/ns/en.malaysia"	"Malaysia"	329847
"http://rdf.freebase.com/ns/en.haixi_mongol_and_tibetan_autonomous_prefecture"	"Haixi Mongol and Tibetan Autonomous Prefecture"	325785
"http://rdf.freebase.com/ns/en.cote_divoire"	"Côte d’Ivoire"	322460
"http://rdf.freebase.com/ns/m.03hgg9y"	"Miraí"	320628
"http://rdf.freebase.com/ns/en.tomsk_oblast"	"Tomsk Oblast"	316900
"http://rdf.freebase.com/ns/en.new_mexico"	"New Mexico"	315194
"http://rdf.freebase.com/ns/en.poland"	"Poland"	312685
"http://rdf.freebase.com/ns/en.oman"	"Oman"	309500
"http://rdf.freebase.com/ns/en.madhya_pradesh"	"Madhya Pradesh"	308252
"http://rdf.freebase.com/ns/en.maharashtra"	"Maharashtra"	307713
"http://rdf.freebase.com/ns/en.buenos_aires_province"	"Buenos Aires Province"	307571
"http://rdf.freebase.com/ns/en.italy"	"Italy"	301230
"http://rdf.freebase.com/ns/en.philippines"	"Philippines"	300000
"http://rdf.freebase.com/ns/en.gulf_of_carpentaria"	"Gulf of Carpentaria"	300000
"http://rdf.freebase.com/ns/en.alps"	"Alps"	298128
"http://rdf.freebase.com/ns/en.kyzyl_kum"	"Kyzyl Kum"	298000
"http://rdf.freebase.com/ns/en.central_u_s_hardwood_forests"	"Central U.S. hardwood forests"	296000
"http://rdf.freebase.com/ns/en.arizona"	"Arizona"	295254
"http://rdf.freebase.com/ns/m.06zr4jl"	"Northeastern Mexico"	293576
"http://rdf.freebase.com/ns/en.icara"	"Içara"	292779
"http://rdf.freebase.com/ns/en.ipiau"	"Ipiaú"	286597
"http://rdf.freebase.com/ns/en.nevada"	"Nevada"	286367
"http://rdf.freebase.com/ns/en.great_sandy_desert"	"Great Sandy Desert"	284993
"http://rdf.freebase.com/ns/en.brusque_santa_catarina"	"Brusque, Santa Catarina"	283445
"http://rdf.freebase.com/ns/en.rio_grande_do_sul"	"Rio Grande do Sul"	281748
"http://rdf.freebase.com/ns/en.tocantins"	"Tocantins"	277620.91
"http://rdf.freebase.com/ns/en.andhra_pradesh"	"Andhra Pradesh"	275045
"http://rdf.freebase.com/ns/en.burkina_faso"	"Burkina Faso"	274000
"http://rdf.freebase.com/ns/en.far_north_queensland"	"Far North Queensland"	272655
"http://rdf.freebase.com/ns/en.colorado"	"Colorado"	269837
"http://rdf.freebase.com/ns/en.macdonnell_shire"	"MacDonnell Shire"	268784.2
"http://rdf.freebase.com/ns/en.new_zealand"	"New Zealand"	268680
"http://rdf.freebase.com/ns/en.gabon"	"Gabon"	267668
"http://rdf.freebase.com/ns/en.western_sahara"	"Western Sahara"	266000
"http://rdf.freebase.com/ns/en.sahrawi_arab_democratic_republic"	"Western Saraha"	266000
"http://rdf.freebase.com/ns/en.hulunbuir"	"Hulunbuir"	263953
"http://rdf.freebase.com/ns/en.ecuador"	"Ecuador"	256370
"http://rdf.freebase.com/ns/en.oregon"	"Oregon"	255026
"http://rdf.freebase.com/ns/en.wyoming"	"Wyoming"	253348
"http://rdf.freebase.com/ns/en.piaui"	"Piauí"	251529.186
"http://rdf.freebase.com/ns/en.persian_gulf"	"Persian Gulf"	251000
"http://rdf.freebase.com/ns/en.michigan"	"Michigan"	250493
"http://rdf.freebase.com/ns/en.puntland"	"Puntland"	250000
"http://rdf.freebase.com/ns/m.01hd58"	"São Paulo"	248209.4
"http://rdf.freebase.com/ns/en.cote-nord"	"Côte-Nord"	247627.053837
"http://rdf.freebase.com/ns/en.chihuahua"	"Chihuahua"	247460
"http://rdf.freebase.com/ns/en.guinea"	"Guinea"	245857
"http://rdf.freebase.com/ns/en.north_slope_borough"	"North Slope Borough"	245435.0433
"http://rdf.freebase.com/ns/en.great_lakes"	"Great Lakes"	244106
"http://rdf.freebase.com/ns/en.santa_cruz_province"	"Santa Cruz Province, Argentina"	243943
"http://rdf.freebase.com/ns/en.united_kingdom_of_great_britain_and_ireland"	"United Kingdom"	243610
"http://rdf.freebase.com/ns/en.uttar_pradesh"	"Uttar Pradesh"	243286
"http://rdf.freebase.com/ns/en.ghana"	"Ghana"	238535
"http://rdf.freebase.com/ns/en.romania"	"Romania"	238391
"http://rdf.freebase.com/ns/en.rondonia"	"Rondônia"	237576.16
"http://rdf.freebase.com/ns/en.laos"	"Laos"	236800
"http://rdf.freebase.com/ns/en.uganda"	"Uganda"	236040
"http://rdf.freebase.com/ns/en.ittoqqortoormiit"	"Ittoqqortoormiit"	235000
"http://rdf.freebase.com/ns/en.ittoqqortoormiit_municipality"	"Ittoqqortoormiit Municipality"	235000
"http://rdf.freebase.com/ns/en.honshu"	"Honshu"	230500
"http://rdf.freebase.com/ns/en.planalto_rio_grande_do_sul"	"Planalto, Rio Grande do Sul"	230417
"http://rdf.freebase.com/ns/en.great_britain"	"Great Britain"	229848
"http://rdf.freebase.com/ns/en.minnesota"	"Minnesota"	225181
"http://rdf.freebase.com/ns/en.chubut_province"	"Chubut Province"	224686
"http://rdf.freebase.com/ns/en.roraima"	"Roraima"	224298.98
"http://rdf.freebase.com/ns/en.pecos_wilderness"	"Pecos Wilderness"	223667
"http://rdf.freebase.com/ns/en.bay_of_biscay"	"Bay of Biscay"	223000
"http://rdf.freebase.com/ns/en.sierra_madre_occidental_pine-oak_forests"	"Sierra Madre Occidental pine-oak forests"	222700
